year,location,site,plot,col,row,block,cult,resis,seed_trt,yield_kg_ha,SCN_initial,SCN_45_dap,SCN_final
2023,NCARS,2,104,1,4,1,P28A83PR,PI88788,BASE,5460.7,1120,4280,4280
2023,NCARS,2,105,1,5,1,P30A46PR,PI88788,ILeVO,5171.525,2200,4520,1280
2023,NCARS,2,106,1,6,1,P30A46PR,PI88788,BASE,4989.95,1200,2560,3560
2023,NCARS,2,107,1,7,1,P34A59PR,Peking,ILeVO,5756.6,4440,6280,1560
2023,NCARS,2,108,1,8,1,P34A59PR,Peking,BASE,6220.625,680,3920,1600
2023,NCARS,2,109,1,9,1,P34A65PR,PI88788,ILeVO,6227.35,960,5400,9400
2023,NCARS,2,110,1,10,1,P34A65PR,PI88788,BASE,6220.625,1880,3920,3200
2023,NCARS,2,111,1,11,1,P31A48PR,Peking,ILeVO,6160.1,2600,4320,2880
2023,NCARS,2,112,1,12,1,P31A48PR,Peking,BASE,6133.2,6440,6160,240
2023,NCARS,2,201,2,1,2,P31A48PR,Peking,BASE,6664.475,1400,1960,1120
2023,NCARS,2,202,2,2,2,P31A48PR,Peking,ILeVO,6153.375,880,2120,1560
2023,NCARS,2,203,2,3,2,P27A26PR,Peking,ILeVO,6341.675,1760,2440,1240
2023,NCARS,2,204,2,4,2,P27A26PR,Peking,BASE,6260.975,3480,2640,1520
2023,NCARS,2,205,2,5,2,P34A59PR,Peking,BASE,6422.375,760,4680,1000
2023,NCARS,2,206,2,6,2,P34A59PR,Peking,ILeVO,6334.95,840,3400,1720
2023,NCARS,2,207,2,7,2,P30A46PR,PI88788,BASE,5951.625,440,2880,2040
2023,NCARS,2,208,2,8,2,P30A46PR,PI88788,ILeVO,5413.625,1040,3600,1120
2023,NCARS,2,209,2,9,2,P28A83PR,PI88788,ILeVO,6603.95,1000,3760,5560
2023,NCARS,2,210,2,10,2,P28A83PR,PI88788,BASE,6045.775,2520,7840,1600
2023,NCARS,2,211,2,11,2,P34A65PR,PI88788,BASE,6321.5,2640,4560,5480
2023,NCARS,2,212,2,12,2,P34A65PR,PI88788,ILeVO,5918,6040,4240,3120
2023,NCARS,2,301,3,1,3,P27A26PR,Peking,ILeVO,5978.525,2040,3520,1680
2023,NCARS,2,302,3,2,3,P27A26PR,Peking,BASE,5561.575,3680,2000,1120
2023,NCARS,2,303,3,3,3,P34A59PR,Peking,BASE,5696.075,2200,3640,2760
2023,NCARS,2,304,3,4,3,P34A59PR,Peking,ILeVO,5978.525,2560,4120,2360
2023,NCARS,2,305,3,5,3,P28A83PR,PI88788,ILeVO,5521.225,3560,2400,2400
2023,NCARS,2,306,3,6,3,P28A83PR,PI88788,BASE,4714.225,6360,4760,4880
2023,NCARS,2,307,3,7,3,P34A65PR,PI88788,BASE,5353.1,7680,11680,2760
2023,NCARS,2,308,3,8,3,P34A65PR,PI88788,ILeVO,4949.6,5120,7440,5000
2023,NCARS,2,309,3,9,3,P31A48PR,Peking,ILeVO,6388.75,4040,8000,5360
2023,NCARS,2,310,3,10,3,P31A48PR,Peking,BASE,5568.3,6160,7000,3720
2023,NCARS,2,311,3,11,3,P30A46PR,PI88788,BASE,4882.35,12960,11400,4720
2023,NCARS,2,312,3,12,3,P30A46PR,PI88788,ILeVO,4431.775,9920,15360,8320
2023,NCARS,2,401,4,1,4,P34A65PR,PI88788,BASE,5151.35,9280,10480,20720
2023,NCARS,2,402,4,2,4,P34A65PR,PI88788,ILeVO,4680.6,12960,7240,16400
2023,NCARS,2,403,4,3,4,P27A26PR,Peking,BASE,5279.125,10080,6200,8360
2023,NCARS,2,404,4,4,4,P27A26PR,Peking,ILeVO,5023.575,10200,6520,10520
2023,NCARS,2,405,4,5,4,P28A83PR,PI88788,ILeVO,4667.15,5840,10000,15280
2023,NCARS,2,406,4,6,4,P28A83PR,PI88788,BASE,4620.075,8600,6320,14880
2023,NCARS,2,407,4,7,4,P31A48PR,Peking,ILeVO,4492.3,6720,7400,5600
2023,NCARS,2,408,4,8,4,P31A48PR,Peking,BASE,4768.025,18320,4320,6600
2023,NCARS,2,409,4,9,4,P34A59PR,Peking,ILeVO,4788.2,14960,9040,10600
2023,NCARS,2,410,4,10,4,P34A59PR,Peking,BASE,4485.575,6320,5400,17240
2023,NCARS,2,411,4,11,4,P30A46PR,PI88788,BASE,4277.1,7520,8560,23520
2023,NCARS,2,412,4,12,4,P30A46PR,PI88788,ILeVO,4458.675,7680,5080,25320
